chassi,modelo,ano,ultima_troca_pneus,ultima_troca_oleo,ultima_revisao,data_cadastro,empresa_id,placa
1HGCM82633A004395,"Modelo D",2023,2023-05-13,2023-05-18,2023-05-23,2024-05-01,14,ZAB3456
1HGCM82633A004396,"Modelo E",2020,2023-05-14,2023-05-19,2023-05-24,2024-05-01,15,CDE7890
1HGCM82633A004397,"Modelo F",2021,2023-05-15,2023-05-20,2023-05-25,2024-05-01,1,FGH1234
1HGCM82633A004398,"Modelo G",2022,2023-05-16,2023-05-21,2023-05-26,2024-05-01,2,IJK5678
1HGCM82633A004399,"Modelo H",2023,2023-05-17,2023-05-22,2023-05-27,2024-05-01,3,LMN9012
1HGCM82633A004400,"Modelo I",2020,2023-05-18,2023-05-23,2023-05-28,2024-05-01,4,OPQ3456
1HGCM82633A004401,"Modelo J",2021,2023-05-19,2023-05-24,2023-05-29,2024-05-01,5,RST7890
1HGCM82633A004402,"Modelo A",2020,2023-06-10,2023-06-15,2023-06-20,2024-06-01,6,UVW1234
1HGCM82633A004403,"Modelo B",2021,2023-06-11,2023-06-16,2023-06-21,2024-06-01,7,XYZ5678
1HGCM82633A004404,"Modelo C",2022,2023-06-12,2023-06-17,2023-06-22,2024-06-01,8,ABC9012
1HGCM82633A004405,"Modelo D",2023,2023-06-13,2023-06-18,2023-06-23,2024-06-01,9,DEF3456
1HGCM82633A004406,"Modelo E",2020,2023-06-14,2023-06-19,2023-06-24,2024-06-01,10,GHI7890
1HGCM82633A004407,"Modelo F",2021,2023-06-15,2023-06-20,2023-06-25,2024-06-01,11,JKL1234
1HGCM82633A004408,"Modelo G",2022,2023-06-16,2023-06-21,2023-06-26,2024-06-01,12,MNO5678
1HGCM82633A004409,"Modelo H",2023,2023-06-17,2023-06-22,2023-06-27,2024-06-01,13,PQR9012
1HGCM82633A004410,"Modelo I",2020,2023-06-18,2023-06-23,2023-06-28,2024-06-01,14,STU3456
1HGCM82633A004411,"Modelo J",2021,2023-06-19,2023-06-24,2023-06-29,2024-06-01,15,VWX7890
1HGCM82633A004412,"Modelo A",2020,2023-07-10,2023-07-15,2023-07-20,2024-07-01,1,YZA1234
1HGCM82633A004413,"Modelo B",2021,2023-07-11,2023-07-16,2023-07-21,2024-07-01,2,BCD5678
1HGCM82633A004414,"Modelo C",2022,2023-07-12,2023-07-17,2023-07-22,2024-07-01,3,EFG9012
1HGCM82633A004415,"Modelo D",2023,2023-07-13,2023-07-18,2023-07-23,2024-07-01,4,HIJ3456
1HGCM82633A004416,"Modelo E",2020,2023-07-14,2023-07-19,2023-07-24,2024-07-01,5,KLM7890
1HGCM82633A004417,"Modelo F",2021,2023-07-15,2023-07-20,2023-07-25,2024-07-01,6,NOP1234
1HGCM82633A004418,"Modelo G",2022,2023-07-16,2023-07-21,2023-07-26,2024-07-01,7,QRS5678
1HGCM82633A004419,"Modelo H",2023,2023-07-17,2023-07-22,2023-07-27,2024-07-01,8,TUV9012
1HGCM82633A004420,"Modelo I",2020,2023-07-18,2023-07-23,2023-07-28,2024-07-01,9,WXY3456
1HGCM82633A004421,"Modelo J",2021,2023-07-19,2023-07-24,2023-07-29,2024-07-01,10,ZAB7890
1HGCM82633A004422,"Modelo A",2020,2023-08-10,2023-08-15,2023-08-20,2024-08-01,1,NOP1234
1HGCM82633A004423,"Modelo B",2021,2023-08-11,2023-08-16,2023-08-21,2024-08-01,2,QRS5678
1HGCM82633A004424,"Modelo C",2022,2023-08-12,2023-08-17,2023-08-22,2024-08-01,3,TUV9012
1HGCM82633A004425,"Modelo D",2023,2023-08-13,2023-08-18,2023-08-23,2024-08-01,4,WXY3456
1HGCM82633A004426,"Modelo E",2020,2023-08-14,2023-08-19,2023-08-24,2024-08-01,5,ZAB7890
1HGCM82633A004427,"Modelo F",2021,2023-08-15,2023-08-20,2023-08-25,2024-08-01,6,BCD1234
1HGCM82633A004428,"Modelo G",2022,2023-08-16,2023-08-21,2023-08-26,2024-08-01,7,EFG5678
1HGCM82633A004429,"Modelo H",2023,2023-08-17,2023-08-22,2023-08-27,2024-08-01,8,HIJ9012
1HGCM82633A004430,"Modelo I",2020,2023-08-18,2023-08-23,2023-08-28,2024-08-01,9,KLM3456
1HGCM82633A004431,"Modelo J",2021,2023-08-19,2023-08-24,2023-08-29,2024-08-01,10,NOP7890
1HGCM82633A004432,"Modelo A",2020,2023-09-10,2023-09-15,2023-09-20,2024-09-01,11,QRS1234
1HGCM82633A004433,"Modelo B",2021,2023-09-11,2023-09-16,2023-09-21,2024-09-01,12,TUV5678
1HGCM82633A004434,"Modelo C",2022,2023-09-12,2023-09-17,2023-09-22,2024-09-01,13,WXY9012
1HGCM82633A004435,"Modelo D",2023,2023-09-13,2023-09-18,2023-09-23,2024-09-01,14,ZAB3456
1HGCM82633A004436,"Modelo E",2020,2023-09-14,2023-09-19,2023-09-24,2024-09-01,15,CDE7890
1HGCM82633A004437,"Modelo F",2021,2023-09-15,2023-09-20,2023-09-25,2024-09-01,1,FGH1234
1HGCM82633A004438,"Modelo G",2022,2023-09-16,2023-09-21,2023-09-26,2024-09-01,2,IJK5678
1HGCM82633A004439,"Modelo H",2023,2023-09-17,2023-09-22,2023-09-27,2024-09-01,3,LMN9012
1HGCM82633A004440,"Modelo I",2020,2023-09-18,2023-09-23,2023-09-28,2024-09-01,4,OPQ3456
1HGCM82633A004441,"Modelo J",2021,2023-09-19,2023-09-24,2023-09-29,2024-09-01,5,RST7890
1HGCM82633A004442,"Modelo A",2020,2023-10-10,2023-10-15,2023-10-20,2024-10-01,6,UVW1234
1HGCM82633A004443,"Modelo B",2021,2023-10-11,2023-10-16,2023-10-21,2024-10-01,7,XYZ5678
1HGCM82633A004444,"Modelo C",2022,2023-10-12,2023-10-17,2023-10-22,2024-10-01,8,ABC9012
1HGCM82633A004445,"Modelo D",2023,2023-10-13,2023-10-18,2023-10-23,2024-10-01,9,DEF3456
1HGCM82633A004446,"Modelo E",2020,2023-10-14,2023-10-19,2023-10-24,2024-10-01,10,GHI7890
1HGCM82633A004447,"Modelo F",2021,2023-10-15,2023-10-20,2023-10-25,2024-10-01,11,JKL1234
1HGCM82633A004448,"Modelo G",2022,2023-10-16,2023-10-21,2023-10-26,2024-10-01,12,MNO5678
1HGCM82633A004449,"Modelo H",2023,2023-10-17,2023-10-22,2023-10-27,2024-10-01,13,PQR9012
1HGCM82633A004450,"Modelo I",2020,2023-10-18,2023-10-23,2023-10-28,2024-10-01,15,VWX7890
1HGCM82633A004451,"Modelo J",2021,2023-10-19,2023-10-24,2023-10-29,2024-10-01,1,ABC1234
1HGCM82633A004452,"Modelo A",2020,2023-11-10,2023-11-15,2023-11-20,2024-11-01,2,DEF5678
1HGCM82633A004453,"Modelo B",2021,2023-11-11,2023-11-16,2023-11-21,2024-11-01,3,GHI9012
1HGCM82633A004454,"Modelo C",2022,2023-11-12,2023-11-17,2023-11-22,2024-11-01,4,JKL3456
1HGCM82633A004455,"Modelo D",2023,2023-11-13,2023-11-18,2023-11-23,2024-11-01,5,MNO7890
1HGCM82633A004456,"Modelo E",2020,2023-11-14,2023-11-19,2023-11-24,2024-11-01,6,PQR1234
1HGCM82633A004457,"Modelo F",2021,2023-11-15,2023-11-20,2023-11-25,2024-11-01,7,STU5678
1HGCM82633A004458,"Modelo G",2022,2023-11-16,2023-11-21,2023-11-26,2024-11-01,8,VWX9012
1HGCM82633A004459,"Modelo H",2023,2023-11-17,2023-11-22,2023-11-27,2024-11-01,9,YZA3456
1HGCM82633A004460,"Modelo I",2020,2023-11-18,2023-11-23,2023-11-28,2024-11-01,10,BCD7890
1HGCM82633A004461,"Modelo J",2021,2023-11-19,2023-11-24,2023-11-29,2024-11-01,11,EFG1234
1HGCM82633A004462,"Modelo A",2020,2023-12-10,2023-12-15,2023-12-20,2024-12-01,12,HIJ5678
1HGCM82633A004463,"Modelo B",2021,2023-12-11,2023-12-16,2023-12-21,2024-12-01,13,KLM9012
1HGCM82633A004464,"Modelo C",2022,2023-12-12,2023-12-17,2023-12-22,2024-12-01,14,NOP3456
1HGCM82633A004465,"Modelo D",2023,2023-12-13,2023-12-18,2023-12-23,2024-12-01,15,QRS7890
1HGCM82633A004466,"Modelo E",2020,2023-12-14,2023-12-19,2023-12-24,2024-12-01,1,TUV1234
1HGCM82633A004467,"Modelo F",2021,2023-12-15,2023-12-20,2023-12-25,2024-12-01,2,WXY5678
1HGCM82633A004468,"Modelo G",2022,2023-12-16,2023-12-21,2023-12-26,2024-12-01,3,ZAB9012
1HGCM82633A004469,"Modelo H",2023,2023-12-17,2023-12-22,2023-12-27,2024-12-01,4,CDE3456
1HGCM82633A004470,"Modelo I",2020,2023-12-18,2023-12-23,2023-12-28,2024-12-01,5,FGH7890
1HGCM82633A004471,"Modelo J",2021,2023-12-19,2023-12-24,2023-12-29,2024-12-01,6,IJK1234
1HGCM82633A004472,"Modelo A",2020,2023-01-10,2023-01-15,2023-01-20,2024-01-01,7,LMN5678
1HGCM82633A004473,"Modelo B",2021,2023-02-11,2023-02-16,2023-02-21,2024-02-01,8,OPQ9012
1HGCM82633A004474,"Modelo C",2022,2023-03-12,2023-03-17,2023-03-22,2024-02-01,9,RST3456
1HGCM82633A004475,"Modelo D",2023,2023-04-13,2023-04-18,2023-04-23,2024-04-01,10,UVW7890
1HGCM82633A004476,"Modelo E",2020,2023-05-14,2023-05-19,2023-05-24,2024-06-01,11,XYZ1234
1HGCM82633A004477,"Modelo F",2021,2023-06-15,2023-06-20,2023-06-25,2024-06-01,12,ABC5678
1HGCM82633A004478,"Modelo G",2022,2023-07-16,2023-07-21,2023-07-26,2024-06-01,13,DEF9012
1HGCM82633A004479,"Modelo H",2023,2023-08-17,2023-08-22,2023-08-27,2024-08-01,14,GHI3456
1HGCM82633A004480,"Modelo I",2020,2023-09-18,2023-09-23,2023-09-28,2024-10-01,15,JKL7890
1HGCM82633A004481,"Modelo J",2021,2023-10-19,2023-10-24,2023-10-29,2024-10-01,1,MNO1234
1HGCM82633A004482,"Modelo K",2020,2023-11-10,2023-11-15,2023-11-20,2024-10-01,2,PQR5678
1HGCM82633A004483,"Modelo L",2021,2023-12-11,2023-12-16,2023-12-21,2024-12-01,3,STU9012
1HGCM82633A004484,"Modelo M",2022,2023-01-12,2023-01-17,2023-01-22,2025-01-01,4,VWX3456
1HGCM82633A004485,"Modelo N",2023,2023-02-13,2023-02-18,2023-02-23,2025-02-01,5,YZA7890
1HGCM82633A004486,"Modelo O",2020,2023-03-14,2023-03-19,2023-03-24,2025-03-01,6,BCD1234
1HGCM82633A004487,"Modelo P",2021,2023-04-15,2023-04-20,2023-04-25,2025-04-01,7,EFG5678
1HGCM82633A004488,"Modelo Q",2022,2023-05-16,2023-05-21,2023-05-26,2025-05-01,8,HIJ9012
1HGCM82633A004489,"Modelo R",2023,2023-06-17,2023-06-22,2023-06-27,2025-06-01,9,KLM3456
1HGCM82633A004490,"Modelo S",2020,2023-07-18,2023-07-23,2023-07-28,2025-07-01,10,NOP7890
1HGCM82633A004491,"Modelo T",2021,2023-08-19,2023-08-24,2023-08-29,2025-08-01,11,QRS1234
